smiles,gap,mol_weight,exact_mass,dipole_moment,heat_formation,polarizability,subset
O=C(C1CC1)C1CC1,13.651,110.15370000000006,110.07316494,2.536,-17.97607,13.003173,QM9-overlap reference
CN[C@H]1CC[C@H]1C,15.045,99.17412000000006,99.104799421,1.456,-14.37878,12.501104,Psi4-recomputed reference
CCCCCCCCC,14.821000000000002,128.25510000000008,128.15650064,0.065,-224.50439,17.301329,QM9-overlap reference
COC(=O)[C@@H]1CCCN1,10.024,129.15704000000002,129.078978597,2.5,-370.56553,13.327534,Psi4-recomputed reference
CCCCC(=O)N(C)C,13.661,129.20010000000005,129.115364105,3.975,-290.89664,15.173187,QM9-overlap reference
Cn1cncc1C=O,12.274,110.11394000000004,110.048012822,6.25,20.01695,11.671547,QM9-overlap reference
CCNC(=O)CC(C)C,14.155,129.20010000000005,129.115364105,3.676,-328.96574,15.086031,QM9-overlap reference
CCOCC(C)(C)C,11.942,116.20134000000007,116.120115132,1.189,-316.98128,14.267496,QM9-overlap reference
CCCC(=O)C1CC1,13.788,112.16958000000004,112.088815004,2.818,-164.82131,13.398239,QM9-overlap reference
CCCCC[C@@H]1O[C@@H]1CC,15.666,142.23861999999988,142.135765196,2.059,-224.01834,17.5343,Psi4-recomputed reference
NC(=O)OCCO,14.538,105.09258000000004,105.042593089,3.089,-573.90911,8.946524,QM9-overlap reference
N#CCCCCC#N,13.151,108.14112000000004,108.068748266,0.017,150.87009,12.284882,QM9-overlap reference
O=C1CCCCCCO1,14.557,128.16898000000006,128.083729624,4.929,-396.22246,14.043982,QM9-overlap reference
CCCCOC(=O)CC,14.93,130.18486000000004,130.099379688,2.005,-497.59626,14.565601,QM9-overlap reference
CC/C=C/CO,10.467,86.13230000000006,86.07316494,2.303,-202.49754,10.420477,Psi4-recomputed reference
CCCCS[C@@H]1CC[C@H]1C,11.693,158.30421999999987,158.112921576,1.814,-90.77425,19.701292,Psi4-recomputed reference
CNC(=O)C1CC1,13.868,99.13106000000003,99.068413913,3.534,-126.148,11.008177,QM9-overlap reference
COC(C)(C)C,12.096,88.14818000000005,88.088815004,1.516,-285.38262,10.590388,QM9-overlap reference
O=COCC(F)(F)F,15.0,128.04992959999998,128.008513996,1.51,-1012.0377,7.28993,QM9-overlap reference
COC(=O)C1CCC1,11.455,114.14240000000004,114.06807956,1.71,-357.55598,12.140373,QM9-overlap reference
CCC(=O)CCC(C)C,13.97,128.2120400000001,128.120115132,2.87,-331.40049,15.612136,QM9-overlap reference
CCCCC[C@@H]1O[C@@H]1C/C=C\CCCCCCCC(=O)O,10.694,296.44488000000047,296.2351448840009,3.53,-667.93081,34.667506,Psi4-recomputed reference
Nc1ccccc1O,11.438,109.12588000000004,109.052763849,1.365,-87.49128,12.547601,QM9-overlap reference
F/C=C/C(F)(F)F,10.841,114.0415928,114.009262944,1.729,-802.56545,6.16973,Psi4-recomputed reference
CC1(C)C[C@H]1/C=C/C1CCCCC1,10.042,178.3137799999998,178.172150704,0.58,-41.66448,23.82353,Psi4-recomputed reference
CNC(=O)C1CCCC1,14.106000000000002,127.18422000000004,127.099714041,3.627,-262.15542,14.536813,QM9-overlap reference
C=O,16.929,30.025979999999997,30.010564684,0.753,-76.59991,2.28644,QM9-overlap reference
O=C1CCCCCC1,10.938,112.16958000000004,112.088815004,3.549,-259.78163,13.336358,QM9-overlap reference
CC1=CC(=O)CC1,12.947,96.12712,96.057514876,4.732,-150.10571,11.445548,QM9-overlap reference
N#Cc1ccccc1O,8.91,119.12070000000004,119.037113785,5.537,39.08078,13.483516,QM9-overlap reference
O=C1CCCCCCN1,11.089,127.18422000000008,127.099714041,4.505,-267.44065,14.582983,QM9-overlap reference
N#CCN1CCCCC1,10.447,124.18358000000006,124.100048394,4.888,95.83793,14.666597,QM9-overlap reference
COC(=O)C(C)(C)C,11.412,116.15828000000003,116.083729624,2.006,-470.62832,12.626804,QM9-overlap reference
C#CCCCC(C)C,11.99,110.19676000000008,110.109550448,1.179,87.59269,14.743583,QM9-overlap reference
CC(=O)OC1(C)CCC1,11.479,128.16898000000006,128.083729624,1.923,-419.29403,13.950406,QM9-overlap reference
COC(=O)C1(C)CC1,14.608,114.14240000000004,114.06807956,1.991,-321.58977,12.25779,QM9-overlap reference
CCC(=O)C1CCCC1,13.868,126.19616000000008,126.104465068,2.873,-275.97221,15.082399,QM9-overlap reference
CCC(=O)C1(C)CCC1,13.764,126.19616000000008,126.104465068,2.994,-229.35057,15.075931,QM9-overlap reference
CNC(=O)N(C)C,10.523,102.13500000000003,102.07931295,3.604,-210.38089,10.863146,QM9-overlap reference
OCc1ccccc1O,9.203,124.13722000000004,124.052429496,1.745,-274.32498,13.588326,QM9-overlap reference
CC(C)(C)C,15.369,72.14878000000003,72.093900384,0.0,-148.64815,9.92193,QM9-overlap reference
O=Cc1ccccn1,12.346,107.11000000000004,107.037113785,3.227,17.77031,11.802608,QM9-overlap reference
CC1=CCCCC1,10.292,96.17018000000006,96.093900384,0.465,-55.32352,12.942299,QM9-overlap reference
Cc1ccccc1C,9.31,106.16500000000003,106.07825032,1.035,20.0706,14.171784,QM9-overlap reference
CCC(C)(C)C,0.0,86.17536000000007,86.109550448,0.376,-44.694,11.454212,QM9-overlap reference
Cc1ccon1,13.497,83.0886,83.03711379,2.6870000000000003,55.33687,8.62953,QM9-overlap reference
N#CCC#N,13.001,66.0614,66.02179807,3.871,241.20963,6.31712,QM9-overlap reference
CCC(=O)OC1CCC1,11.585,128.16898000000006,128.083729624,1.967,-399.38357,14.040519,QM9-overlap reference
O=c1ccocc1,12.667000000000002,97.092,0.0,4.177,-181.21257,0.0,QM9-overlap reference
CCCCOC,12.009,88.14818000000001,88.088815004,1.449,-259.503,10.639161,QM9-overlap reference
CCCC(C)(C)C,18.029,100.20194000000008,100.125200512,0.048,-185.77079,13.572471,QM9-overlap reference
CCC1(C)CC1,16.055,84.15948000000006,84.093900384,0.462,-24.46728,11.362936,QM9-overlap reference
O=CNC1CCCC1,10.563,113.15764000000004,113.084063977,3.359,-145.06847,12.48574,QM9-overlap reference
CC1(C)CC[C@H]1OC1CCCCC1,11.767,182.3024799999998,182.167065324,1.126,-305.49298,22.455167,Psi4-recomputed reference
O=CNC1CC1,10.449,85.10448000000002,85.052763849,2.901,-2.69597,8.944601,QM9-overlap reference
CCOC(=O)C=O,12.706,102.08864000000004,102.031694052,1.089,-472.79872,9.337039,QM9-overlap reference
CCCCCOC,12.004,102.17476000000008,102.104465068,1.509,-280.73425,12.47676,QM9-overlap reference
O=C1CCC(=O)CC1,10.582,112.12652000000004,112.052429496,0.026,-372.26525,11.757393,QM9-overlap reference
NCc1ccco1,12.644,97.11518000000004,97.052763849,1.55,-32.89933,10.667049,Psi4-recomputed reference
NC(=O)c1cccnc1,12.629,122.12464000000004,122.048012822,5.127,-44.7469,12.99156,QM9-overlap reference
CCC(=O)CC(=O)CC,13.671,128.16898000000003,128.083729624,2.811,-435.57826,13.982006,QM9-overlap reference
CCCC(=O)NCC,14.119,115.17352000000004,115.099714041,3.839,-302.15938,13.279358,QM9-overlap reference
CCCCCOC=O,14.891000000000002,116.15828000000003,116.083729624,2.06,-446.63638,12.703308,QM9-overlap reference
C#CC1=CCCCC1,9.643,106.16500000000003,106.07825032,1.115,217.1576,14.399084,QM9-overlap reference
OCC#CCO,11.404,86.08924000000002,86.036779432,1.629,-157.47239,8.832228,QM9-overlap reference
CCOc1ccccc1,9.143,122.16440000000004,122.07316494,1.5630000000000002,-102.19414,14.976738,QM9-overlap reference
C#CC1(C)CC1,11.168,80.12772000000004,80.062600256,0.803,270.17092,10.75904,QM9-overlap reference
C1CCCCCC1,14.962,98.18606000000004,98.109550448,0.002,-116.66374,13.107152,QM9-overlap reference
CCCCCOCCC,11.924,130.2279,130.1357652,1.381,-331.74244,0.0,QM9-overlap reference
C[C@H]1C[C@H]1C(=O)SC1CCC1,11.755,170.27185999999983,170.076536068,0.805,-88.76705,19.681809,Psi4-recomputed reference
CPCCC(C)(C)C,13.234,132.18364100000002,132.106787174,3.083,-180.25885,17.774598,Psi4-recomputed reference
CPCCC(C)(C)C,13.234,132.18364100000002,132.106787174,3.083,-180.25886,17.774627,Psi4-recomputed reference
CNC(=O)C1(C)CC1,14.04,113.15764000000004,113.084063977,3.729,-154.43071,12.835364,QM9-overlap reference
CCC(=O)C1CCC1,13.851,112.16958000000008,112.088815004,2.878,-202.17152,13.260512,QM9-overlap reference
CCC1(CC)CCCC1,14.509,126.23922000000007,126.140850576,0.101,-167.67483,16.688582,QM9-overlap reference
c1cnnnn1,12.144,82.06408,82.027946084,4.871,402.09591,7.408977,QM9-overlap reference
CCC#CCC,11.422,82.14360000000005,82.07825032,0.21,110.4397,11.284604,QM9-overlap reference
CC1(O)CCC1,16.461,86.13230000000004,86.07316494,1.852,-224.51976,10.027165,QM9-overlap reference
COc1ccccc1C,9.08,122.16440000000006,122.07316494,1.225,-107.9533,14.950506,QM9-overlap reference
O=CCc1ccccc1,9.76,120.14852000000003,120.057514876,2.915,-48.38911,14.271178,QM9-overlap reference
CCCCOCCCC,11.916,130.22792000000004,130.135765196,1.235,-331.04617,16.189174,QM9-overlap reference
CC(=O)NC1CC1,13.748,99.13106000000003,99.068413913,3.761,-142.73164,11.147118,QM9-overlap reference
COC(=O)CC(C)(C)C,14.847,130.18486,130.099379688,1.647,-494.63025,14.425743,QM9-overlap reference
OCCn1cccn1,13.204,112.12982000000004,112.063662886,0.992,-0.8525100000000001,11.820616,QM9-overlap reference
COC1(C)CCC1,12.018,100.15888000000008,100.088815004,1.549,-201.17449,11.920959,QM9-overlap reference
CCC(=O)CC(C)C,13.962,114.18546000000008,114.104465068,2.932,-310.87537,13.765367,QM9-overlap reference
O=CNc1ccccc1,11.938,121.13658000000004,121.052763849,3.378,-61.07804,13.980337,QM9-overlap reference
CCCCCOC1CC1,11.75,128.21204000000006,128.120115132,1.415,-187.79355,15.77814,QM9-overlap reference
C[C@H](Cc1ccccc1)NC(=S)S,7.349,211.3469199999998,211.048941421,4.069,119.87579,24.231393,Psi4-recomputed reference
CCC(=O)CC,13.981,86.13230000000004,86.07316494,2.92,-264.8626,10.140193,QM9-overlap reference
CCCCCOC(C)C,11.971,130.22792000000004,130.135765196,1.304,-345.00811,16.161292,QM9-overlap reference
O=CN1CCCCC1,13.532,113.15764000000006,113.084063977,4.198,-219.48073,12.876089,QM9-overlap reference
NC(=O)N1CC1,10.838,86.09254000000003,86.048012822,1.992,-53.38903,8.494198,QM9-overlap reference
CC1(C)OO1,10.631,74.07854000000003,74.036779432,2.875,-61.63231,7.104869,Psi4-recomputed reference
CCCC(=O)OC(C)C,11.63,130.18486,130.099379688,2.043,-514.04155,14.5233,QM9-overlap reference
OC1CCCCCCC1,13.282,128.2120400000001,128.120115132,1.807,-301.79573,15.516363,QM9-overlap reference
CCCOC(C)(C)C,11.993,116.20134000000007,116.120115132,1.376,-337.58415,14.286488,QM9-overlap reference
CCOC(=O)CC,14.951,102.13170000000004,102.06807956,2.006,-455.52483,10.870457,QM9-overlap reference
CC/C=C/CCOC(=O)/C=C/c1ccccc1,8.768,230.30221999999975,230.130679816,2.16,-214.51584,28.174594,Psi4-recomputed reference
CCCCC(C)(C)C,17.797,114.22852000000007,114.140850576,0.053,-195.77471,15.403589,QM9-overlap reference
CCCC1=CCCC1,10.491,110.19676000000008,110.109550448,0.457,-59.84502,14.714121,QM9-overlap reference
Nn1cnnc1,13.564,84.07996000000001,84.043596148,6.418,323.12367,7.956947,Psi4-recomputed reference
CCNC(=O)C1(C)CC1,14.05,127.18422000000004,127.099714041,3.755,-184.23506,14.686651,QM9-overlap reference
[Li][NH+]O,10.984,38.963,39.02964324,7.345,122.44337,2.15578,Psi4-recomputed reference
CC#CC(C)(C)C,11.624,96.17018000000006,96.093900384,0.215,80.52156,13.107988,QM9-overlap reference
C1CCC2(CC1)CC2,15.93,110.19676000000008,110.109550448,0.44,-25.41505,14.552115,QM9-overlap reference
CCC1CC1,13.079999999999998,70.13290000000002,70.07825032,0.283,2.42282,9.545545,QM9-overlap reference
CCOC1(C)CC1,11.792000000000002,100.15888000000008,100.088815004,1.5550000000000002,-160.45706,12.071805,QM9-overlap reference
Nc1ccccc1F,8.64,111.1169,111.04842742,1.929,-98.4294,12.21895,QM9-overlap reference
CCC#N,13.495,55.07849999999999,55.042199165,3.928,56.98099,6.503759,QM9-overlap reference
CCCCCCC=O,13.865,114.18546000000006,114.104465068,2.858,-273.83097,13.783066,QM9-overlap reference
CC(=O)N(C)C,10.349,87.12036000000005,87.068413913,4.233,-230.47082,9.670726,QM9-overlap reference
C1CC2(C1)CC2,16.13,82.14360000000005,82.07825032,0.253,86.74931,10.852568,QM9-overlap reference
CCCNC(=O)C(C)C,14.117,129.20010000000005,129.115364105,3.38,-326.12984,15.10558,QM9-overlap reference
COC(=O)c1cn[nH]n1,9.942,127.1014,127.038176415,1.722,-62.86604,11.383768,QM9-overlap reference
CCC(=O)OCC(C)C,11.624,130.18486000000004,130.099379688,1.988,-500.27316,14.536913,QM9-overlap reference
C#CC1CCC1,11.767,80.12772000000004,80.062600256,0.887,236.46463,10.601506,QM9-overlap reference
CC1(C)CCOCO1,12.167,116.15828000000006,116.083729624,2.479,-429.89119,12.54767,QM9-overlap reference
CC1CCCC1,14.484,84.15948000000006,84.093900384,0.111,-110.37339,11.244641,QM9-overlap reference
BrBr,11.2,159.808,157.836674,0.0,35.44985,6.883293,Psi4-recomputed reference
COC1CCC1,12.019,86.13230000000006,86.07316494,1.415,-164.7237,10.110347,QM9-overlap reference
O=COc1ccccc1,9.465,122.12134000000002,122.036779432,3.883,-192.23327,13.484445,QM9-overlap reference
Nc1ccccc1N,8.440000000000001,108.14112000000004,108.068748266,0.936,97.06942,13.14611,QM9-overlap reference
CCC(=O)CO,13.887,88.10512000000004,88.052429496,4.485,-375.05389,8.937907,QM9-overlap reference
N#CC1CCC1,12.534,81.11578,81.057849229,3.923,120.46936,9.6925,QM9-overlap reference
CNC(=O)CC(C)C,14.158,115.17352000000004,115.099714041,3.691,-299.11498,13.230857,QM9-overlap reference
CCN1C(=O)CCC1=O,10.218,127.14116000000006,127.063328533,1.959,-411.89205,13.19089,QM9-overlap reference
COC1CCCCC1,11.921,114.18546000000008,114.104465068,1.481,-273.45832,13.799044,QM9-overlap reference
CC#Cc1ccccc1,8.708,116.15982000000004,116.062600256,0.972,284.05658,16.054673,QM9-overlap reference
CCOC1CCCCC1,11.86,128.2120400000001,128.120115132,1.286,-302.8689,15.664888,QM9-overlap reference
CCCCOC1(C)CC1,11.772,128.21204000000006,128.120115132,1.53,-202.89189,15.752041,QM9-overlap reference
Fc1ccccc1F,9.326,114.09276640000002,114.028106568,2.713,-286.66813,10.497233,QM9-overlap reference
CCCCOC(C)C,11.971,116.20134000000007,116.120115132,1.242,-323.67982,14.32207,QM9-overlap reference
C1CCCCCCCC1,14.951,126.23922000000005,126.140850576,0.007,-146.20166,16.739085,QM9-overlap reference
CCCOC(=O)C1CCC1,14.732,142.19555999999986,142.099379688,1.868,-410.97167,15.871027,Psi4-recomputed reference
COCc1ccccc1,9.502,122.16440000000006,122.07316494,1.569,-74.12201,14.864196,QM9-overlap reference
COC(=O)CO,11.602,90.07794000000004,90.031694052,2.584,-552.27588,7.741248,QM9-overlap reference
N#CC1=CCCCC1,9.97,107.15306000000004,107.073499293,4.563,105.03641,13.383548,QM9-overlap reference
OCC1CC1,12.729,72.10572000000005,72.057514876,1.92,-140.25408,8.305888,QM9-overlap reference
CC1=NCCO1,10.628,85.10448000000004,85.052763849,1.545,-134.60595,9.095333,QM9-overlap reference
CCCCC(C)C,17.978,100.20194000000008,100.125200512,0.071,-183.01857,13.605759,QM9-overlap reference
CCCC#CCCC,11.694,110.19676000000008,110.109550448,0.176,66.74545,15.031251,QM9-overlap reference
CNC=O,10.558,59.0672,59.037113785,3.224,-101.75394,5.527437,QM9-overlap reference
CCCC(=O)CCC,13.844,114.18546000000008,114.104465068,3.257,-308.9174,13.817273,QM9-overlap reference
CCN1C(=O)C=CC1=O,11.944,125.12528000000005,125.047678469,1.104,-242.69126,12.900758,QM9-overlap reference
OCCc1cnc[nH]1,12.838,112.12982000000004,112.063662886,3.171,-91.59735,11.767975,QM9-overlap reference
C1CCC2(C1)CC2,15.973,96.17018000000006,96.093900384,0.397,4.59415,12.670089,Psi4-recomputed reference
CCCOC1CCCC1,11.944,128.2120400000001,128.120115132,1.254,-294.24503,15.611728,QM9-overlap reference
Oc1ccccc1F,8.888,112.10170320000005,112.032443,0.876,-278.41769,11.164066,QM9-overlap reference
CCCCC=O,13.871,86.13230000000006,86.07316494,2.868,-231.29368,10.119483,QM9-overlap reference
CC1(C)COCCO1,11.54,116.15828000000006,116.083729624,0.284,-411.30972,12.54113,QM9-overlap reference
CCOC(=O)C(C)(C)C,11.408,130.18486000000004,130.099379688,2.25,-503.39203,14.499078,QM9-overlap reference
CCO,0.0,46.06843999999999,46.041864812,2.11,-45.96266,4.847431,QM9-overlap reference
CCCC1(C)CCCC1,14.484,126.23922000000007,126.140850576,0.104,-170.55605,16.678881,QM9-overlap reference
CC#CCCC(C)C,11.512,110.19676000000008,110.109550448,0.2,63.93362,14.9759,QM9-overlap reference
CCCC(=O)C(C)C,13.836,114.18546000000006,114.104465068,2.892,-309.74251,13.7788,QM9-overlap reference
O=C1CCCC(=O)C1,13.909,112.12652000000004,112.052429496,3.655,-375.39337,11.770789,QM9-overlap reference
C#CCCC(C)C,11.913,96.17018000000006,96.093900384,1.037,111.40096,12.853438,QM9-overlap reference
N#Cc1ccccc1N,11.341,118.13594000000003,118.053098202,4.233,209.86572,14.242413,QM9-overlap reference
C[C@H]1C[C@@H]1[S@](=O)[C@@H]1CC1(C)C,12.779,172.2877399999999,172.092186132,4.381,-40.10071,20.309526,Psi4-recomputed reference
CCCC#CC(C)C,11.431,110.19676000000008,110.109550448,0.184,65.97952,15.020805,QM9-overlap reference
COc1cccnc1N,8.167,124.14052000000004,124.063662886,3.139,-31.23996,13.830964,QM9-overlap reference
CCCCC(=O)OC,14.944,116.15828000000003,116.083729624,1.748,-466.21342,12.668312,QM9-overlap reference
O=C1CCCN1,10.898,85.10448000000004,85.052763849,4.517,-208.08013,9.084469,QM9-overlap reference
CCC(C)(C)C,18.112,86.17536000000007,86.109550448,0.033,-163.55348,11.747604,QM9-overlap reference
OC1CCCCC1,13.019,100.15888000000004,100.088815004,1.875,-279.3445,11.857955,QM9-overlap reference
N=c1ccccoc1=O,12.072,123.10940000000002,123.032028405,2.851,-66.9416,12.801711,QM9-overlap reference
CCOCCC(C)C,11.946,116.20134000000007,116.120115132,1.256,-311.45113,14.317786,QM9-overlap reference
C#CCOCC#C,10.498,94.11124000000004,94.041864812,2.182,329.34503,11.13918,QM9-overlap reference
C#C,12.83,26.037280000000003,26.015650064,0.0,239.06159,3.513948,QM9-overlap reference
CC1OCCO1,11.636,88.10512000000004,88.052429496,1.532,-374.2475,8.818997,QM9-overlap reference
CCCOC(=O)CCC,14.94,130.18486,130.099379688,2.007,-499.08637,14.561717,QM9-overlap reference
O=Cc1ccccc1,9.456,106.12194000000002,106.041864812,3.082,-25.58955,12.578056,QM9-overlap reference
CN1CCC(=O)CC1,13.027,113.15764000000006,113.084063977,2.763,-192.70853,12.775758,QM9-overlap reference
CC(=O)C1CC1,10.876,84.11642,84.057514876,2.969,-125.83485,9.732965,QM9-overlap reference
COC(=O)C1(C)CCC1,11.37,128.16898000000003,128.083729624,1.957,-386.29399,13.945946,QM9-overlap reference
CC(=O)OCCO,14.814,104.10452000000004,104.047344116,2.693,-592.896,9.636376,QM9-overlap reference
CC1(/C=C\C2CCCCC2)CC1,10.483,164.2871999999998,164.15650064,0.548,-13.50948,21.26067,Psi4-recomputed reference
O=Cc1ccco1,12.199,96.08406000000002,96.021129368,3.045,-133.69119,9.899984,QM9-overlap reference
CCc1ccccc1C,9.334,120.19158000000006,120.093900384,0.983,-1.23428,15.997212,QM9-overlap reference
CCCOC1(C)CCC1,11.934,128.2120400000001,128.120115132,1.457,-253.75799,15.613986,QM9-overlap reference
CCC(=O)C(C)C,13.838,100.15888000000008,100.088815004,2.811,-287.15724,11.951453,QM9-overlap reference
C,9.519,16.042460000000002,16.031300128,2.0,430.44644,2.185805,QM9-overlap reference
NC/C=C/CC(=O)O,9.939,115.13046000000004,115.063328533,2.009,-346.66458,11.780472,Psi4-recomputed reference
N#CCCC#N,13.112,80.08795999999998,80.037448138,5.427,205.75724,8.540507,QM9-overlap reference
NC(=O)c1ccccn1,12.433,122.12464000000004,122.048012822,3.329,-46.75658,12.990177,QM9-overlap reference
Cc1ccncc1N,11.667,108.14112000000004,108.068748266,4.076,94.51766,12.990936,QM9-overlap reference
CCCCCCOC,12.008,116.20134000000007,116.120115132,1.441,-302.14707,14.312764,QM9-overlap reference
CCCCC(=O)OCC,14.942,130.18486,130.099379688,1.987,-498.42467,14.553129,QM9-overlap reference
CCNC(=O)C(C)(C)C,14.077,129.20010000000005,129.115364105,3.874,-327.14733,15.060417,QM9-overlap reference
Nc1ccccn1,11.866,94.11454000000003,94.053098202,1.987,117.79152,11.083391,QM9-overlap reference
CC(=O)c1ccco1,9.31,110.11064000000005,110.036779432,3.229,-198.30112,11.70932,Psi4-recomputed reference
CCC1CCCC1,17.724,98.18606000000008,98.109550448,0.06,-127.89219,13.061517,QM9-overlap reference
C=CCSC#N,8.5,99.15420000000002,99.014270165,3.821,189.09555,11.115351,Psi4-recomputed reference
CC(=O)c1ccc[nH]1,12.246,109.12588000000004,109.052763849,4.793,-65.37876,12.321483,QM9-overlap reference
CCC1CCCCC1,17.66,112.21264000000008,112.125200512,0.037,-155.64888,14.933887,QM9-overlap reference
COC(=O)C1CCCC1,11.508,128.16898000000003,128.083729624,1.857,-433.63286,13.961021,QM9-overlap reference
O=C1CCCCCCC1,13.919,126.19616000000006,126.104465068,3.252,-275.50329,15.10288,QM9-overlap reference
CC1=CC(=O)CCC1,9.825,110.15370000000006,110.07316494,4.848,-187.43143,13.308344,QM9-overlap reference
CCCCCCCCCCCCC,17.61,184.36141999999975,184.219100896,0.064,-309.89631,24.654633,Psi4-recomputed reference
CCCC,14.993,58.12219999999998,58.078250319999995,0.003,-118.02856,8.130492,QM9-overlap reference
CCC(=O)OC(C)C,11.632,116.15828000000006,116.083729624,1.969,-492.01277,12.678712,QM9-overlap reference
O=COCCOC=O,11.561,118.08804000000002,118.026608672,0.025,-678.73431,9.92506,QM9-overlap reference
CC=O,10.676,44.05255999999999,44.026214748,3.08,-172.08831,4.636228,QM9-overlap reference
CCCCCCC,14.647,100.20194000000008,100.125200512,0.066,-181.81775,13.630498,QM9-overlap reference
NCCN1CCNCC1,14.438,129.20340000000004,129.126597495,1.77,35.62124,14.940751,Psi4-recomputed reference
